transaction_id,value_date,posted_at,amount,currency,dr_cr,merchant_name,reference,narrative,channel,account_type,city,keyword_hit,category_id,category_display_name
TX5970983654,2023-09-19,2023-09-19,835.59,INR,DR,Uber India,CARD913927,MASTERCARD UBER INDIA HYDERABAD REF CARD913927,CARD,CURRENT,Hyderabad,driver tip,MOBILITY,Mobility – Ride Hailing & Transit
TX6116445036,2023-07-28,2023-07-29,43537.42,INR,DR,Fortis Healthcare,CARD491619,MASTERCARD FORTIS HEALTHCARE JAIPUR REF CARD491619,CARD,CREDIT_CARD,Jaipur,medicine,HEALTH,Health & Wellness
TX5708275206,2023-04-27,2023-04-27,2088.81,INR,DR,Tata Power Delhi Distribution,AUTO542067,AUTOPAY Tata Power Delhi Distribution tata power REF AUTO542067,AUTOPAY,CREDIT_CARD,Delhi,tata power,UTILITIES_POWER,Utilities – Electricity
TX6448430100,2023-12-07,2023-12-08,46556.36,INR,DR,Croma,EMI155185,EMI Croma INST EMI155185,EMI,CURRENT,Delhi,vivo,SHOPPING_ELECTRONICS,Shopping – Electronics & Appliances
TX9269758261,2023-07-08,2023-07-11,76822.82,INR,CR,Employer Payroll,IMPS1255830,IMPS IMPS1255830 TO Employer Payroll HYDERABAD,IMPS,CURRENT,Hyderabad,salary,INCOME,Income & Refunds
TX1881413217,2023-11-15,2023-11-17,52366.14,INR,DR,Local Schools,UPI32063430,UPI/UPI32063430 Local Schools@okhdfcbank vedantu KOLKATA,UPI,SAVINGS,Kolkata,vedantu,EDUCATION,Education & Learning
TX8319550536,2023-10-22,2023-10-24,4989.40,INR,DR,Myntra,UPI83276874,UPI/UPI83276874 Myntra@okhdfcbank checkout BENGALURU,UPI,SAVINGS,Bengaluru,checkout,SHOPPING_ECOM,Shopping – E-commerce Marketplaces
TX5685012999,2023-12-06,2023-12-06,42136.67,INR,DR,IKEA India,CARD610239,AMEX IKEA INDIA AHMEDABAD REF CARD610239,CARD,CURRENT,Ahmedabad,pepperfry,HOME_IMPROVEMENT,Home Improvement & Furnishings
TX6564699214,2023-12-08,2023-12-09,31676.66,INR,DR,PharmEasy,CARD301659,VISA PHARMEASY PUNE REF CARD301659,CARD,CREDIT_CARD,Pune,apollo,HEALTH,Health & Wellness
TX6703752446,2024-03-26,2024-03-27,12162.53,INR,DR,Milaap,NB8260388,KOTAK NETBANK Milaap foundation NB8260388,NETBANKING,SAVINGS,Delhi,foundation,CHARITY,Charity & Donations
TX9165180843,2024-04-09,2024-04-09,47428.37,INR,DR,MakeMyTrip,CARD444228,MASTERCARD MAKEMYTRIP PUNE REF CARD444228,CARD,CREDIT_CARD,Pune,air india,TRAVEL,Travel – Flights & Rail
TX4494559904,2023-07-08,2023-07-09,7430.04,INR,DR,Flipkart,CARD698518,MASTERCARD FLIPKART PUNE REF CARD698518,CARD,SAVINGS,Pune,shipment,SHOPPING_ECOM,Shopping – E-commerce Marketplaces
TX8672748129,2023-08-08,2023-08-09,1318.30,INR,DR,ACT Fibernet,AUTO994411,AUTOPAY ACT Fibernet act fibernet REF AUTO994411,AUTOPAY,CREDIT_CARD,Delhi,act fibernet,UTILITIES_TELECOM,Utilities – Telecom & Internet
TX3710125227,2023-03-24,2023-03-26,41702.81,INR,DR,Reliance Digital,EMI576096,EMI Reliance Digital INST EMI576096,EMI,SAVINGS,Bengaluru,imagine store,SHOPPING_ELECTRONICS,Shopping – Electronics & Appliances
TX1797802509,2023-08-11,2023-08-13,8255.00,INR,DR,Fortis Healthcare,CARD304209,RUPAY FORTIS HEALTHCARE PUNE REF CARD304209,CARD,SAVINGS,Pune,chemist,HEALTH,Health & Wellness
TX4814084355,2023-07-09,2023-07-11,35932.11,INR,DR,Croma,EMI680945,EMI Croma INST EMI680945,EMI,SAVINGS,Bengaluru,appliance,SHOPPING_ELECTRONICS,Shopping – Electronics & Appliances
TX3360047011,2024-02-27,2024-02-28,31164.54,INR,DR,Coursera,NB8322138,YES NETBANK Coursera byjus NB8322138,NETBANKING,SAVINGS,Ahmedabad,byjus,EDUCATION,Education & Learning
TX8503694722,2023-03-18,2023-03-20,1401.51,INR,DR,Uber India,CARD441660,MASTERCARD UBER INDIA HYDERABAD REF CARD441660,CARD,CREDIT_CARD,Hyderabad,lrt,MOBILITY,Mobility – Ride Hailing & Transit
TX9083735251,2023-10-21,2023-10-22,2418.50,INR,DR,Sony LIV,CARD930124,AMEX SONY LIV BENGALURU REF CARD930124,CARD,SAVINGS,Bengaluru,sony liv,ENTERTAINMENT,Entertainment & Media
TX7743258163,2023-04-07,2023-04-10,2251.50,INR,DR,DMart Ready,CARD925839,AMEX DMART READY JAIPUR REF CARD925839,CARD,SAVINGS,Jaipur,spar,GROCERIES,Groceries & Daily Essentials
TX3090968276,2024-02-04,2024-02-04,1501.25,INR,DR,Zomato,POS962445,POS KOLKATA ZOMATO REF POS962445,POS,SAVINGS,Kolkata,burger king,DINING,Dining & Food Delivery
TX2014981427,2023-08-27,2023-08-29,2257.12,INR,DR,Disney+ Hotstar,SUB643666,SUBSCRIPTION Disney+ Hotstar apple music SUB643666,SUBSCRIPTION,CURRENT,Ahmedabad,apple music,ENTERTAINMENT,Entertainment & Media
TX1609308834,2023-10-30,2023-11-02,530.71,INR,DR,Rapido,CARD542498,MASTERCARD RAPIDO AHMEDABAD REF CARD542498,CARD,SAVINGS,Ahmedabad,rapido,MOBILITY,Mobility – Ride Hailing & Transit
TX5026364372,2023-06-28,2023-06-29,825.20,INR,DR,Card Network,CARD175337,AMEX CARD NETWORK KOCHI REF CARD175337,CARD,CREDIT_CARD,Kochi,chargeback,FEES,Fees & Adjustments
TX8309894210,2023-03-08,2023-03-08,2500.15,INR,DR,DMart Ready,CARD847927,VISA DMART READY HYDERABAD REF CARD847927,CARD,SAVINGS,Hyderabad,reliance smart,GROCERIES,Groceries & Daily Essentials
TX6081451530,2023-10-07,2023-10-09,49631.19,INR,DR,IKEA India,CARD799240,MASTERCARD IKEA INDIA JAIPUR REF CARD799240,CARD,SAVINGS,Jaipur,berger paints,HOME_IMPROVEMENT,Home Improvement & Furnishings
TX4344486949,2024-04-24,2024-04-24,962.04,INR,DR,Delhi Metro Rail Corporation,UPI32269252,UPI/UPI32269252 Delhi Metro Rail Corporation@oksbi metro card HYDERABAD,UPI,CURRENT,Hyderabad,metro card,MOBILITY,Mobility – Ride Hailing & Transit
TX1892945037,2023-02-23,2023-02-23,233643.44,INR,CR,Employer Payroll,SAL355979,SALARY CREDIT Employer Payroll SAL355979,SALARY,CURRENT,Jaipur,reversal,INCOME,Income & Refunds
TX6465887899,2023-03-29,2023-03-31,1042.71,INR,DR,Swiggy,POS187025,POS JAIPUR SWIGGY REF POS187025,POS,SAVINGS,Jaipur,biryani,DINING,Dining & Food Delivery
TX5754372264,2024-02-17,2024-02-17,439.46,INR,DR,Vodafone Idea,NB1722275,AXIS NETBANK Vodafone Idea postpaid NB1722275,NETBANKING,SAVINGS,Jaipur,postpaid,UTILITIES_TELECOM,Utilities – Telecom & Internet
TX6544534742,2023-10-25,2023-10-25,5662.46,INR,DR,Microsoft 365,UPI70345463,UPI/UPI70345463 Microsoft 365@oksbi dropbox HYDERABAD,UPI,CURRENT,Hyderabad,dropbox,SUBSCRIPTIONS,Digital Subscriptions & SaaS
TX2381829669,2023-01-07,2023-01-07,5563.35,INR,DR,Milaap,UPI79795687,UPI/UPI79795687 Milaap@upi charity DELHI,UPI,CREDIT_CARD,Delhi,charity,CHARITY,Charity & Donations
TX9708178123,2023-08-27,2023-08-30,6089.38,INR,DR,Google Workspace,CARD735470,RUPAY GOOGLE WORKSPACE PUNE REF CARD735470,CARD,SAVINGS,Pune,microsoft,SUBSCRIPTIONS,Digital Subscriptions & SaaS
TX3451700816,2023-04-14,2023-04-17,778.40,INR,DR,Zomato,POS872153,POS MUMBAI ZOMATO REF POS872153,POS,SAVINGS,Mumbai,kfc,DINING,Dining & Food Delivery
TX6700379425,2024-01-13,2024-01-16,13265.98,INR,DR,Ketto,UPI80759327,UPI/UPI80759327 Ketto@oksbi crowdfunding MUMBAI,UPI,SAVINGS,Mumbai,crowdfunding,CHARITY,Charity & Donations
TX7339970083,2023-10-22,2023-10-22,951.46,INR,DR,Swiggy,UPI79135325,UPI/UPI79135325 Swiggy@ybl starbucks KOCHI,UPI,SAVINGS,Kochi,starbucks,DINING,Dining & Food Delivery
TX7707345994,2023-02-13,2023-02-14,16396.26,INR,DR,Byju's,UPI95712090,UPI/UPI95712090 Byju's@ybl udemy DELHI,UPI,CREDIT_CARD,Delhi,udemy,EDUCATION,Education & Learning
TX4462902778,2024-01-16,2024-01-18,1112.28,INR,DR,Mahanagar Gas Limited,NB4045726,HDFC NETBANK Mahanagar Gas Limited water board NB4045726,NETBANKING,CREDIT_CARD,Kolkata,water board,UTILITIES_WATER_GAS,Utilities – Water & Piped Gas
TX6829079406,2024-01-16,2024-01-17,1528.46,INR,DR,Delhi Jal Board,AUTO230204,AUTOPAY Delhi Jal Board mnng REF AUTO230204,AUTOPAY,SAVINGS,Hyderabad,mnng,UTILITIES_WATER_GAS,Utilities – Water & Piped Gas
TX8603431359,2023-06-20,2023-06-21,398.97,INR,DR,Rapido,UPI76254361,UPI/UPI76254361 Rapido@ybl metro card KOLKATA,UPI,SAVINGS,Kolkata,metro card,MOBILITY,Mobility – Ride Hailing & Transit
TX2431386151,2023-05-15,2023-05-15,887.23,INR,DR,Card Network,NB1040203,YES NETBANK Card Network platform fee NB1040203,NETBANKING,SAVINGS,Kolkata,platform fee,FEES,Fees & Adjustments
TX5036473431,2023-03-02,2023-03-02,1064.25,INR,DR,Reliance Fresh,UPI53287579,UPI/UPI53287579 Reliance Fresh@okhdfcbank reliance smart KOCHI,UPI,SAVINGS,Kochi,reliance smart,GROCERIES,Groceries & Daily Essentials
TX7766451007,2023-02-15,2023-02-15,72189.72,INR,DR,Urban Ladder,NB3137040,AXIS NETBANK Urban Ladder furnishing NB3137040,NETBANKING,CURRENT,Jaipur,furnishing,HOME_IMPROVEMENT,Home Improvement & Furnishings
TX9768403197,2023-05-17,2023-05-19,3403.36,INR,DR,Sony LIV,SUB257537,SUBSCRIPTION Sony LIV steam SUB257537,SUBSCRIPTION,CURRENT,Jaipur,steam,ENTERTAINMENT,Entertainment & Media
TX7044155054,2023-03-11,2023-03-11,817.67,INR,DR,Airtel Payments,UPI72521014,UPI/UPI72521014 Airtel Payments@oksbi fiber DELHI,UPI,CURRENT,Delhi,fiber,UTILITIES_TELECOM,Utilities – Telecom & Internet
TX3105637090,2023-09-11,2023-09-12,12363.21,INR,DR,GiveIndia,UPI95357312,UPI/UPI95357312 GiveIndia@okhdfcbank relief fund MUMBAI,UPI,SAVINGS,Mumbai,relief fund,CHARITY,Charity & Donations
TX2267137437,2023-04-19,2023-04-22,7711.58,INR,DR,Google Workspace,SUB350851,SUBSCRIPTION Google Workspace subscription SUB350851,SUBSCRIPTION,CURRENT,Ahmedabad,subscription,SUBSCRIPTIONS,Digital Subscriptions & SaaS
TX2328785880,2024-02-17,2024-02-20,3475.02,INR,DR,DMart Ready,UPI17330502,UPI/UPI17330502 DMart Ready@oksbi fresh2home BENGALURU,UPI,SAVINGS,Bengaluru,fresh2home,GROCERIES,Groceries & Daily Essentials
TX9767614385,2023-06-06,2023-06-09,3580.61,INR,DR,Byju's,AUTO458326,AUTOPAY Byju's udemy REF AUTO458326,AUTOPAY,SAVINGS,Mumbai,udemy,EDUCATION,Education & Learning
TX2992325324,2023-03-17,2023-03-19,1112.60,INR,DR,Indraprastha Gas Limited,AUTO430038,AUTOPAY Indraprastha Gas Limited mahanagar gas REF AUTO430038,AUTOPAY,SAVINGS,Kolkata,mahanagar gas,UTILITIES_WATER_GAS,Utilities – Water & Piped Gas
TX6243760894,2023-05-16,2023-05-16,2589.04,INR,DR,BigBasket,UPI18678218,UPI/UPI18678218 BigBasket@ybl natures basket KOLKATA,UPI,CREDIT_CARD,Kolkata,natures basket,GROCERIES,Groceries & Daily Essentials
TX4832673232,2024-01-07,2024-01-07,2057.28,INR,DR,Indian Oil Corporation,POS407891,POS JAIPUR INDIAN OIL CORPORATION REF POS407891,POS,CREDIT_CARD,Jaipur,esso,FUEL,Fuel & Gas Stations
TX5923910928,2023-05-30,2023-06-02,99392.64,INR,CR,Income Tax Department,SAL339274,SALARY CREDIT Income Tax Department SAL339274,SALARY,SAVINGS,Bengaluru,reversal,INCOME,Income & Refunds
TX6742598387,2023-02-05,2023-02-08,35230.93,INR,DR,Byju's,NB4890062,KOTAK NETBANK Byju's university NB4890062,NETBANKING,CREDIT_CARD,Mumbai,university,EDUCATION,Education & Learning
TX5301267152,2023-08-10,2023-08-10,5456.91,INR,DR,Myntra,NB1389773,YES NETBANK Myntra amzn NB1389773,NETBANKING,CREDIT_CARD,Bengaluru,amzn,SHOPPING_ECOM,Shopping – E-commerce Marketplaces
TX7801033395,2023-06-24,2023-06-25,35581.22,INR,DR,Indian Railways,UPI69963954,UPI/UPI69963954 Indian Railways@ibl ticket booking HYDERABAD,UPI,CURRENT,Hyderabad,ticket booking,TRAVEL,Travel – Flights & Rail
TX7894322659,2024-04-06,2024-04-06,40335.52,INR,DR,1mg,CARD305983,AMEX 1MG BENGALURU REF CARD305983,CARD,CREDIT_CARD,Bengaluru,fortis,HEALTH,Health & Wellness
TX7472179089,2023-11-05,2023-11-07,4666.61,INR,DR,Google Workspace,UPI20551697,UPI/UPI20551697 Google Workspace@oksbi adobe KOCHI,UPI,SAVINGS,Kochi,adobe,SUBSCRIPTIONS,Digital Subscriptions & SaaS
TX5590917710,2024-03-05,2024-03-06,24549.27,INR,DR,PharmEasy,NB6895245,KOTAK NETBANK PharmEasy prescription NB6895245,NETBANKING,SAVINGS,Chennai,prescription,HEALTH,Health & Wellness
TX6842504758,2023-05-24,2023-05-27,47320.50,INR,DR,Byju's,AUTO863937,AUTOPAY Byju's exam fee REF AUTO863937,AUTOPAY,CREDIT_CARD,Kolkata,exam fee,EDUCATION,Education & Learning
TX7563040282,2023-07-14,2023-07-16,11778.67,INR,DR,MakeMyTrip,UPI23480627,UPI/UPI23480627 MakeMyTrip@upi indigo KOCHI,UPI,SAVINGS,Kochi,indigo,TRAVEL,Travel – Flights & Rail
TX4242591370,2023-08-28,2023-08-30,1790.94,INR,DR,Zomato,POS140537,POS PUNE ZOMATO REF POS140537,POS,CREDIT_CARD,Pune,mcd,DINING,Dining & Food Delivery
TX9657412039,2023-02-26,2023-02-26,1988.96,INR,DR,Reliance Fresh,UPI47029796,UPI/UPI47029796 Reliance Fresh@ibl nature's basket CHENNAI,UPI,CURRENT,Chennai,nature's basket,GROCERIES,Groceries & Daily Essentials
TX2118499674,2023-06-29,2023-07-01,8098.27,INR,DR,IndiGo,UPI79588706,UPI/UPI79588706 IndiGo@okhdfcbank rail ticket DELHI,UPI,CREDIT_CARD,Delhi,rail ticket,TRAVEL,Travel – Flights & Rail
TX5457142212,2023-07-24,2023-07-25,2928.98,INR,DR,Shell India,POS312057,POS BENGALURU SHELL INDIA REF POS312057,POS,CURRENT,Bengaluru,petrol pump,FUEL,Fuel & Gas Stations
TX7093143192,2023-05-17,2023-05-18,1731.94,INR,DR,Flipkart,UPI42954784,UPI/UPI42954784 Flipkart@ibl ajio CHENNAI,UPI,CREDIT_CARD,Chennai,ajio,SHOPPING_ECOM,Shopping – E-commerce Marketplaces
TX2149903854,2023-12-02,2023-12-02,3517.76,INR,DR,Indian Oil Corporation,CARD627041,AMEX INDIAN OIL CORPORATION JAIPUR REF CARD627041,CARD,CREDIT_CARD,Jaipur,hindustan petroleum,FUEL,Fuel & Gas Stations
TX4472288201,2024-02-19,2024-02-19,19906.27,INR,DR,Pepperfry,CARD941890,MASTERCARD PEPPERFRY KOCHI REF CARD941890,CARD,CURRENT,Kochi,tile,HOME_IMPROVEMENT,Home Improvement & Furnishings
TX1600988843,2023-03-09,2023-03-09,1668.90,INR,DR,Delhi Jal Board,AUTO943949,AUTOPAY Delhi Jal Board gail gas REF AUTO943949,AUTOPAY,SAVINGS,Hyderabad,gail gas,UTILITIES_WATER_GAS,Utilities – Water & Piped Gas
TX7376413349,2023-06-13,2023-06-14,681.86,INR,DR,Ola Cabs,UPI49825545,UPI/UPI49825545 Ola Cabs@upi indrive HYDERABAD,UPI,CURRENT,Hyderabad,indrive,MOBILITY,Mobility – Ride Hailing & Transit
TX4901906754,2023-02-20,2023-02-20,22387.95,INR,DR,LIC of India,CARD519854,VISA LIC OF INDIA AHMEDABAD REF CARD519854,CARD,CREDIT_CARD,Ahmedabad,chargeback,FINANCIAL_SERVICES,Financial Services & Charges
TX4508277107,2023-10-11,2023-10-13,795.33,INR,DR,Jio Platforms,UPI51994068,UPI/UPI51994068 Jio Platforms@upi data pack MUMBAI,UPI,CREDIT_CARD,Mumbai,data pack,UTILITIES_TELECOM,Utilities – Telecom & Internet
TX2947928163,2023-05-11,2023-05-14,31571.35,INR,DR,Zerodha,NB3268514,HDFC NETBANK Zerodha icici prudential NB3268514,NETBANKING,SAVINGS,Delhi,icici prudential,FINANCIAL_SERVICES,Financial Services & Charges
TX9758862846,2023-04-13,2023-04-13,52340.82,INR,DR,LIC of India,CARD208179,RUPAY LIC OF INDIA KOCHI REF CARD208179,CARD,CREDIT_CARD,Kochi,sip,FINANCIAL_SERVICES,Financial Services & Charges
